idx,label,sentence1,sentence2,explanation
9699,neutral,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,A small group of adults and children stand happily on a cobblestone street.,People standing outside an Irish pub are not necessarily standing happily.
9700,neutral,"The people driving the tiny white car were nearly hit by the train, but it had fortunately stopped just in time.","The tiny white car with the Obama bumper sticker was almost hit by the train, however, the car managed to barely avoid the collision.",A tiny white car is not assumed to have an Obama bumper sticker.
9701,entailment,"The people driving the tiny white car were nearly hit by the train, but it had fortunately stopped just in time.",The car was nearly hit by a train.,The car is tiny.
9702,contradiction,"The people driving the tiny white car were nearly hit by the train, but it had fortunately stopped just in time.",The people driving the van were tailgating at the stadium.,Sentence one is about people driving the tiny car and how they were almost hit by a train but it stopped in time. The sentence in number two is talking about the people in a van who were tailgating at a stadium for an event.
9703,neutral,A woman looking through what appears to be a telescope.,An female astronamer looking toward the stars through her telescope.,Looking through what appears to be a telescope doesn't imply being an astronamer and looking toward the stars.
9704,neutral,A woman looking through what appears to be a telescope.,A woman looking through a telescope toward the sky.,"Telescopes can be used to look at many things, not just the sky."
9705,contradiction,a redheaded lady is reading a book while waiting for the train.,a woman is napping on her ride home.,The woman can't be reading while napping.
9706,entailment,a redheaded lady is reading a book while waiting for the train.,a woman is reading a book.,A red headed woman is reading a book while waiting for the train.
9707,contradiction,a redheaded lady is reading a book while waiting for the train.,a woman is reading a book on her ride home.,"It's implied that the lady is the woman. She's reading while waiting for the train, which means that she can't already be on her ride home."
9708,entailment,Four girls look at objects under a microscope.,Four people look at objects under a microscope.,girls are people
9709,neutral,Four girls look at objects under a microscope.,Four sad girls look at objects under a microscope.,Girls can look under a microscope without being sad.
9710,contradiction,Four girls look at objects under a microscope.,Four boys look at objects under a microscope.,It is either boys or girls but cannot be both.
9711,contradiction,Two ladies looking for bread to purchase.,The women are eating bread.,"the first sentence is the search for the bread, the second is them having the bread. searching for the bread came chronologically earlier, so cannot be happening at the same time as the second sentence."
9712,neutral,Two ladies looking for bread to purchase.,The women are dating.,You can not infer the women are dating.
9713,entailment,Two ladies looking for bread to purchase.,Two women are looking at bread.,"The second sentence is a reworking of the first, with both mentioning two women looking at bread."
9714,contradiction,Two men boxing a ring while one boxer is hitting the other.,They are playing ring around the rosy.,Hitting is not playing.
9715,entailment,Two men boxing a ring while one boxer is hitting the other.,They are in a boxing match.,They are in a boxing match because they are in a boxing ring.
9716,neutral,Two men boxing a ring while one boxer is hitting the other.,They are sports rivals.,two men doesn't mean they are rivals
9717,contradiction,A man wearing a red bicycle helmet talking on a cellphone with other people in the background.,A man talks on his walky talky.,A cellphone can not be a walky talky.
9718,entailment,A man wearing a red bicycle helmet talking on a cellphone with other people in the background.,A man talks on a cellphone.,the man on a bicycle is talking on the cellphone
9719,neutral,A man wearing a red bicycle helmet talking on a cellphone with other people in the background.,A man talks on his iphone.,Not every cell phone is an iPhone.
9720,contradiction,a man in pants dancing in a park.,A man is in a taxi.,The man cannot be simultaneously dancing and be in a taxi
9721,entailment,a man in pants dancing in a park.,A man is outside.,A park is outside.
9722,neutral,a man in pants dancing in a park.,A man is entertaining others with his dance knowledge.,"A person dancing in a park may not be entertaining others, and he may not have any dance knowledge, he could simply be an amateur"
9723,contradiction,A man wearing a light blue robe-style jacket is sitting on a street corner playing a musical instrument.,The man was wearing a red robe.,A man cannot wear a light blue robe and a red robe at the same time.
9724,neutral,A man wearing a light blue robe-style jacket is sitting on a street corner playing a musical instrument.,The man was playing the guitar on the street.,A musical instrument is not necessarily a guitar.
9725,entailment,A man wearing a light blue robe-style jacket is sitting on a street corner playing a musical instrument.,The man in the jacket sat on the street playing an instrument.,Sentence 1 offers longer descriptions of the jacket and instrument
9726,neutral,"As a referee looks on, a Los Angeles baseball player is falling over the top of a rival player who is just sliding into base.",A man is getting his uniform dirty by sliding to base.,Just because a baseball player is sliding into base does not mean he is getting his uniform dirty.
